Date,Open,High,Low,Close,Volume
07/12/2024,1586.4,1605.0,1574.3,1596.7,1444574.0
07/11/2024,1589.0,1603.9,1570.3,1581.8,206364.0
07/10/2024,1592.5,1597.5,1563.4,1583.5,141816.0
07/09/2024,1600.0,1600.6,1581.0,1590.1,335112.0
07/08/2024,1590.0,1609.0,1582.5,1601.1,383740.0
07/05/2024,1551.9,1598.8,1548.1,1590.0,1517954.0
07/04/2024,1558.5,1567.3,1551.2,1554.0,264962.0
07/03/2024,1565.2,1574.8,1542.6,1552.7,343368.0
07/02/2024,1566.9,1575.0,1556.7,1566.2,314216.0
07/01/2024,1565.0,1578.8,1555.2,1560.2,375212.0
06/28/2024,1530.5,1580.7,1530.5,1565.9,2065782.0
06/27/2024,1510.8,1537.5,1506.1,1530.6,662220.0
06/26/2024,1450.0,1518.5,1445.1,1513.7,1445392.0
06/25/2024,1447.5,1456.1,1441.7,1454.3,419452.0
06/24/2024,1446.0,1449.5,1437.2,1441.5,125386.0
06/21/2024,1471.7,1474.5,1440.3,1453.4,1794940.0
06/20/2024,1465.0,1482.5,1450.4,1473.2,198244.0
06/19/2024,1485.7,1487.6,1455.6,1458.6,195016.0
06/18/2024,1485.1,1487.0,1470.6,1480.7,216044.0
06/14/2024,1468.1,1479.4,1456.7,1477.3,372690.0
06/13/2024,1473.0,1473.0,1460.3,1464.3,115126.0
06/12/2024,1456.8,1476.0,1455.5,1463.0,345148.0
06/11/2024,1475.0,1475.0,1455.0,1456.8,251936.0
06/10/2024,1471.9,1493.3,1467.8,1470.3,174132.0
06/07/2024,1429.0,1472.3,1426.5,1469.7,1904410.0
06/06/2024,1434.5,1443.0,1421.5,1431.9,510756.0
06/05/2024,1424.5,1430.7,1384.0,1421.1,360172.0
06/04/2024,1504.0,1504.0,1359.6,1396.8,2070856.0
06/03/2024,1487.5,1515.0,1459.0,1510.6,630462.0
05/31/2024,1432.3,1442.1,1421.6,1429.8,1594572.0
05/30/2024,1442.0,1442.0,1420.8,1425.0,108264.0
05/29/2024,1448.5,1458.1,1438.5,1440.7,130162.0
05/28/2024,1471.0,1478.5,1452.7,1455.6,232640.0
05/27/2024,1480.4,1483.7,1462.0,1466.2,269142.0
05/24/2024,1483.0,1488.5,1475.6,1479.9,913194.0
05/23/2024,1459.2,1491.8,1456.0,1486.6,394112.0
05/22/2024,1436.5,1468.4,1436.5,1460.4,221684.0
05/21/2024,1429.5,1441.5,1426.5,1435.7,261814.0
05/17/2024,1421.2,1437.4,1413.0,1435.4,830714.0
05/16/2024,1417.5,1427.2,1398.3,1425.1,142242.0
05/15/2024,1422.5,1429.7,1412.8,1415.6,103644.0
05/14/2024,1402.5,1427.0,1400.0,1419.9,275234.0
05/13/2024,1399.0,1406.6,1384.0,1402.7,263134.0
05/10/2024,1395.1,1410.7,1387.6,1407.6,765576.0
05/09/2024,1429.5,1429.5,1390.0,1393.4,212694.0
05/08/2024,1397.5,1433.5,1397.5,1418.5,557738.0
05/07/2024,1416.0,1420.4,1392.5,1402.0,339140.0
05/06/2024,1437.5,1440.7,1418.1,1419.5,286808.0
05/03/2024,1469.3,1474.6,1416.4,1434.3,687108.0
05/02/2024,1472.7,1477.0,1463.8,1466.1,249570.0
04/30/2024,1465.5,1482.5,1463.5,1465.6,474192.0
04/29/2024,1451.5,1467.8,1450.1,1465.3,389292.0
04/26/2024,1462.6,1465.0,1450.0,1451.5,901160.0
04/25/2024,1444.0,1467.5,1442.6,1459.2,385948.0
04/24/2024,1461.2,1468.3,1449.4,1450.3,156772.0
04/23/2024,1484.3,1493.0,1456.3,1459.3,546866.0
04/22/2024,1475.0,1482.2,1468.3,1480.3,351966.0
04/19/2024,1459.5,1473.5,1443.4,1470.8,1061950.0
04/18/2024,1464.5,1485.8,1459.5,1464.1,411428.0
04/16/2024,1455.0,1471.0,1451.1,1467.2,314104.0
04/15/2024,1454.3,1482.3,1446.6,1466.5,603980.0
04/12/2024,1477.5,1486.5,1462.9,1467.6,1355896.0
04/10/2024,1475.0,1487.0,1467.3,1479.3,328710.0
04/09/2024,1487.5,1489.4,1462.5,1463.6,119766.0
04/08/2024,1461.7,1490.3,1461.7,1485.5,296784.0
04/05/2024,1464.0,1470.8,1456.0,1460.0,862624.0
04/04/2024,1479.3,1479.3,1450.3,1463.2,209180.0
